iter	Accuracy	Logloss
667	0.8267571609	0.369109082
668	0.826872196	0.3689832218
669	0.8267571609	0.3688858525
670	0.826872196	0.3688370879
671	0.826872196	0.3687629467
672	0.826872196	0.36866544
673	0.8269872311	0.3685459152
674	0.8269872311	0.3685058179
675	0.8269872311	0.3684355876
676	0.826872196	0.3683692602
677	0.8269872311	0.3683180347
678	0.8269872311	0.3682433616
679	0.8269872311	0.368183589
680	0.8271022662	0.3681370155
681	0.8271022662	0.3680417313
682	0.8269872311	0.3679506464
683	0.8269872311	0.3678973906
684	0.8269872311	0.3678469189
685	0.8267571609	0.3677724902
686	0.8269872311	0.3677060983
687	0.826872196	0.3676647207
688	0.8269872311	0.3675394106
689	0.8272173013	0.3674921537
690	0.8272173013	0.3674533972
691	0.8272173013	0.3674026255
692	0.8272173013	0.3673549127
693	0.826872196	0.3672633826
694	0.826872196	0.3672168884
695	0.8272173013	0.3671650757
696	0.8271022662	0.3671166205
697	0.8271022662	0.3670726077
698	0.8269872311	0.3669081076
699	0.8269872311	0.3668805509
700	0.826872196	0.3668164434
701	0.8269872311	0.3667238407
702	0.8269872311	0.3666656473
703	0.8269872311	0.3666193942
704	0.8271022662	0.3665557075
705	0.8272173013	0.3664998621
706	0.8272173013	0.3664598371
707	0.8273323364	0.3663886007
708	0.8272173013	0.366282441
709	0.8273323364	0.366217147
710	0.8274473714	0.3661792789
711	0.8273323364	0.3661337604
712	0.8274473714	0.3660858158
713	0.8269872311	0.3660301191
714	0.8271022662	0.3659847716
715	0.8273323364	0.3659066271
716	0.8272173013	0.3658391612
717	0.8272173013	0.3658196708
718	0.8272173013	0.3657681511
719	0.8274473714	0.3657255282
720	0.8274473714	0.3656764246
721	0.8273323364	0.3655332064
722	0.8273323364	0.3654579428
723	0.8272173013	0.3654183263
724	0.8273323364	0.3653842267
725	0.8274473714	0.3653056057
726	0.8274473714	0.3652419059
727	0.8275624065	0.3651521948
728	0.8276774416	0.365084252
729	0.8276774416	0.3650061352
730	0.8275624065	0.3649419807
731	0.8275624065	0.3649074926
732	0.8273323364	0.3648237583
733	0.8273323364	0.3647933838
734	0.8273323364	0.3647098887
735	0.8273323364	0.3646738727
736	0.8274473714	0.36464149
737	0.8273323364	0.3645861856
738	0.8274473714	0.3645234483
739	0.8275624065	0.3644728621
740	0.8275624065	0.3643948144
741	0.8276774416	0.3642812181
742	0.8275624065	0.3642445476
743	0.8275624065	0.3640907726
744	0.8276774416	0.364018484
745	0.8276774416	0.3638757389
746	0.8279075118	0.3638240431
747	0.8277924767	0.3637893918
748	0.8279075118	0.3637534246
749	0.828137582	0.3636720242
750	0.8280225469	0.3636055606
751	0.8277924767	0.3635521573
752	0.8280225469	0.3634971468
753	0.8279075118	0.3634192719
754	0.8279075118	0.3633585253
755	0.8280225469	0.3633211326
756	0.8280225469	0.3632805133
757	0.828137582	0.3632233683
758	0.828252617	0.3631743821
759	0.8283676521	0.3631209791
760	0.828252617	0.3630383114
761	0.8280225469	0.3629930137
762	0.8277924767	0.3629309007
763	0.8280225469	0.3628721846
764	0.828137582	0.3628083732
765	0.8276774416	0.3627156561
766	0.8280225469	0.3626770116
767	0.828252617	0.3626243744
768	0.828137582	0.3625585408
769	0.828137582	0.3625067052
770	0.828252617	0.362461892
771	0.8288277925	0.3623976024
772	0.8287127574	0.3623494274
773	0.8287127574	0.3623020062
774	0.8288277925	0.3622453965
775	0.8285977223	0.362207406
776	0.8287127574	0.3621469936
777	0.8287127574	0.3620753735
778	0.8287127574	0.3620390867
779	0.8290578626	0.3619677524
780	0.8292879328	0.3619257039
781	0.8292879328	0.3618813786
782	0.8290578626	0.3617390661
783	0.8289428276	0.3616840576
784	0.8290578626	0.3616439471
785	0.8290578626	0.361581892
786	0.8291728977	0.3615247122
787	0.8290578626	0.3614833899
788	0.8290578626	0.3614397889
789	0.8290578626	0.3613946787
790	0.8292879328	0.3613173157
791	0.8294029679	0.3612902145
792	0.829518003	0.3612261931
793	0.8291728977	0.3611532661
794	0.8292879328	0.3610461957
795	0.8291728977	0.3610030071
796	0.8291728977	0.3609594764
797	0.8294029679	0.3608812007
798	0.829518003	0.3608008119
799	0.8291728977	0.3607449188
800	0.8292879328	0.3606770059
801	0.8292879328	0.3606494983
802	0.8291728977	0.3605720455
803	0.8298631082	0.3604926037
804	0.8300931784	0.3604318415
805	0.8298631082	0.3603844912
806	0.8298631082	0.3603242928
807	0.8299781433	0.3602859864
808	0.8300931784	0.3602434158
809	0.8302082135	0.3601923171
810	0.8304382837	0.3601494988
811	0.8304382837	0.3601067713
812	0.8304382837	0.360077746
813	0.8302082135	0.360028049
814	0.8305533188	0.3599182831
815	0.8304382837	0.3598824212
816	0.8306683538	0.3598272853
817	0.8306683538	0.3597740545
818	0.8305533188	0.3597043038
819	0.8306683538	0.3596461236
820	0.8306683538	0.3596102236
821	0.8303232486	0.3595614324
822	0.8304382837	0.3595030381
823	0.8306683538	0.3594543304
824	0.8305533188	0.3594014554
825	0.8305533188	0.3593491531
826	0.8306683538	0.3593006069
827	0.8306683538	0.3592586285
828	0.8311284942	0.3592038311
829	0.8312435293	0.3591556414
830	0.8314735994	0.3591228858
831	0.8313585644	0.3590834609
832	0.8310134591	0.3590250487
833	0.8311284942	0.358960333
834	0.8314735994	0.3588964911
835	0.8314735994	0.3588588918
836	0.8314735994	0.3588107315
837	0.8315886345	0.3587118405
838	0.8317036696	0.3586625878
839	0.8314735994	0.3585927943
840	0.8315886345	0.3585416866
841	0.8315886345	0.3584789689
842	0.8318187047	0.3584077833
843	0.8319337398	0.3583273071
844	0.8319337398	0.3582713256
845	0.8320487749	0.358238447
846	0.8320487749	0.3582001461
847	0.83216381	0.358132646
848	0.832278845	0.3580783324
849	0.832278845	0.3580435983
850	0.832278845	0.3580112212
851	0.832278845	0.357920376
852	0.832278845	0.3578768929
853	0.83216381	0.3578413874
854	0.83216381	0.3577987462
855	0.83216381	0.3577431402
856	0.832278845	0.3576863688
857	0.83216381	0.3576549044
858	0.832278845	0.3576163105
859	0.8323938801	0.3575359967
860	0.8325089152	0.3575145968
861	0.8323938801	0.3574498549
862	0.8323938801	0.3573758223
863	0.8323938801	0.3573146665
864	0.8323938801	0.3572691789
865	0.8323938801	0.3572246092
866	0.8325089152	0.3571890869
867	0.8323938801	0.3571498085
868	0.8323938801	0.3571107815
869	0.8323938801	0.3570499239
870	0.8323938801	0.356972253
871	0.8327389854	0.3568932939
872	0.8327389854	0.3568323525
873	0.8327389854	0.3567621695
874	0.8327389854	0.3566978139
875	0.8327389854	0.3566684153
876	0.8325089152	0.3566143553
877	0.832278845	0.3565509785
878	0.8320487749	0.3564822312
879	0.8320487749	0.3564455804
880	0.8320487749	0.3564158552
881	0.8320487749	0.356382634
